Metagenomes,Group
ERR6050423,indica
ERR6050533,indica
ERR6050643,indica
ERR6050364,indica
ERR6050474,indica
ERR6050584,indica
ERR6050368,indica
ERR6050478,indica
ERR6050588,indica
ERR6050365,indica
ERR6050475,indica
ERR6050585,indica
ERR6050396,indica
ERR6050506,indica
ERR6050616,indica
ERR6050325,indica
ERR6050435,indica
ERR6050545,indica
ERR6050338,indica
ERR6050448,indica
ERR6050558,indica
ERR6050426,indica
ERR6050536,indica
ERR6050646,indica
ERR6050381,indica
ERR6050491,indica
ERR6050601,indica
ERR6050383,indica
ERR6050493,indica
ERR6050603,indica
ERR6050385,indica
ERR6050495,indica
ERR6050605,indica
ERR6050422,indica
ERR6050532,indica
ERR6050642,indica
ERR6050326,indica
ERR6050436,indica
ERR6050546,indica
ERR6050361,indica
ERR6050471,indica
ERR6050581,indica
ERR6050332,indica
ERR6050442,indica
ERR6050552,indica
ERR6050391,indica
ERR6050501,indica
ERR6050611,indica
ERR6050400,indica
ERR6050510,indica
ERR6050620,indica
ERR6050331,indica
ERR6050441,indica
ERR6050551,indica
ERR6050402,indica
ERR6050512,indica
ERR6050622,indica
ERR6050373,indica
ERR6050483,indica
ERR6050593,indica
ERR6050398,indica
ERR6050508,indica
ERR6050618,indica
ERR6050388,indica
ERR6050498,indica
ERR6050608,indica
ERR6050358,indica
ERR6050468,indica
ERR6050578,indica
ERR6050406,indica
ERR6050516,indica
ERR6050626,indica
ERR6050401,indica
ERR6050511,indica
ERR6050621,indica
ERR6050418,indica
ERR6050528,indica
ERR6050638,indica
ERR6050366,indica
ERR6050476,indica
ERR6050586,indica
ERR6050349,indica
ERR6050459,indica
ERR6050569,indica
ERR6050359,indica
ERR6050469,indica
ERR6050579,indica
ERR6050392,indica
ERR6050502,indica
ERR6050612,indica
ERR6050341,japonica
ERR6050451,japonica
ERR6050561,japonica
ERR6050376,indica
ERR6050486,indica
ERR6050596,indica
ERR6050378,indica
ERR6050488,indica
ERR6050598,indica
ERR6050386,japonica
ERR6050496,japonica
ERR6050606,japonica
ERR6050427,indica
ERR6050537,indica
ERR6050647,indica
ERR6050428,japonica
ERR6050538,japonica
ERR6050648,japonica
ERR6050397,indica
ERR6050507,indica
ERR6050617,indica
ERR6050367,japonica
ERR6050477,japonica
ERR6050587,japonica
ERR6050337,indica
ERR6050447,indica
ERR6050557,indica
ERR6050425,japonica
ERR6050535,japonica
ERR6050645,japonica
ERR6050421,japonica
ERR6050531,japonica
ERR6050641,japonica
ERR6050414,japonica
ERR6050524,japonica
ERR6050634,japonica
ERR6050377,indica
ERR6050487,indica
ERR6050597,indica
ERR6050424,japonica
ERR6050534,japonica
ERR6050644,japonica
ERR6050415,japonica
ERR6050525,japonica
ERR6050635,japonica
ERR6050412,japonica
ERR6050522,japonica
ERR6050632,japonica
ERR6050429,japonica
ERR6050539,japonica
ERR6050649,japonica
ERR6050324,indica
ERR6050434,indica
ERR6050544,indica
ERR6050363,indica
ERR6050473,indica
ERR6050583,indica
ERR6050416,japonica
ERR6050526,japonica
ERR6050636,japonica
ERR6050384,japonica
ERR6050494,japonica
ERR6050604,japonica
ERR6050344,indica
ERR6050454,indica
ERR6050564,indica
ERR6050390,japonica
ERR6050500,japonica
ERR6050610,japonica
ERR6050387,japonica
ERR6050497,japonica
ERR6050607,japonica
ERR6050352,japonica
ERR6050462,japonica
ERR6050572,japonica
ERR6050403,indica
ERR6050513,indica
ERR6050623,indica
ERR6050323,japonica
ERR6050433,japonica
ERR6050543,japonica
ERR6050395,indica
ERR6050505,indica
ERR6050615,indica
ERR6050404,indica
ERR6050514,indica
ERR6050624,indica
ERR6050353,indica
ERR6050463,indica
ERR6050573,indica
ERR6050360,indica
ERR6050470,indica
ERR6050580,indica
ERR6050354,japonica
ERR6050464,japonica
ERR6050574,japonica
ERR6050330,japonica
ERR6050440,japonica
ERR6050550,japonica
ERR6050371,japonica
ERR6050481,japonica
ERR6050591,japonica
ERR6050419,japonica
ERR6050529,japonica
ERR6050639,japonica
ERR6050321,japonica
ERR6050431,japonica
ERR6050541,japonica
ERR6050346,japonica
ERR6050456,japonica
ERR6050566,japonica
ERR6050333,japonica
ERR6050443,japonica
ERR6050553,japonica
ERR6050342,japonica
ERR6050452,japonica
ERR6050562,japonica
ERR6050375,japonica
ERR6050485,japonica
ERR6050595,japonica
ERR6050356,indica
ERR6050466,indica
ERR6050576,indica
ERR6050389,indica
ERR6050499,indica
ERR6050609,indica
ERR6050351,japonica
ERR6050461,japonica
ERR6050571,japonica
ERR6050399,indica
ERR6050509,indica
ERR6050619,indica
ERR6050327,indica
ERR6050437,indica
ERR6050547,indica
ERR6050369,japonica
ERR6050479,japonica
ERR6050589,japonica
ERR6050345,indica
ERR6050455,indica
ERR6050565,indica
ERR6050336,japonica
ERR6050446,japonica
ERR6050556,japonica
ERR6050343,japonica
ERR6050453,japonica
ERR6050563,japonica
ERR6050407,indica
ERR6050517,indica
ERR6050627,indica
ERR6050374,japonica
ERR6050484,japonica
ERR6050594,japonica
ERR6050409,japonica
ERR6050519,japonica
ERR6050629,japonica
ERR6050420,japonica
ERR6050530,japonica
ERR6050640,japonica
ERR6050348,indica
ERR6050458,indica
ERR6050568,indica
ERR6050357,indica
ERR6050467,indica
ERR6050577,indica
ERR6050334,indica
ERR6050444,indica
ERR6050554,indica
ERR6050393,japonica
ERR6050503,japonica
ERR6050613,japonica
ERR6050417,japonica
ERR6050527,japonica
ERR6050637,japonica
ERR6050430,indica
ERR6050540,indica
ERR6050650,indica
ERR6050411,japonica
ERR6050521,japonica
ERR6050631,japonica
ERR6050355,indica
ERR6050465,indica
ERR6050575,indica
ERR6050408,indica
ERR6050518,indica
ERR6050628,indica
